word,translation
lot,pron.许多
provoke,v.引起
dirt,n.污垢
alliance,n.联盟
wash,v.洗涤
musician,n.音乐家
squeeze,v.挤压，捏
dew,n.露水
notwithstanding,prep.虽然，尽管
district,n.地区
yesterday,adv.在昨天
trousers,n.裤子，长裤
default,v.违约，不履行
damp,adj.有湿气的，潮湿的
area,n.地区
motion,n.运动，移动
theater,n.剧院
defeat,v.挫败，使落空
infrared,n.红外线
misfortune,n.不幸，灾祸
vein,n.静脉
portrait,n.肖像
upward,adj.向上的
limitation,n.限制
humiliate,v.使蒙羞，使丢脸
device,n.仪器，设备
fridge,n.冰箱
badminton,n.羽毛球
invert,v.颠倒，倒置，倒转
both,det.双方
duty,n.责任
ingredient,n.成分
cherry,n.樱桃
dairy,adj.牛奶的，奶制的
outlook,n.世界观，观点
pot,n.锅，罐，瓶，壶
coast,n.海岸，海滨
result,n.结果
elementary,adj.最基础的
nonetheless,adv.尽管如此，依然
glide,v.滑翔，滑动，滑行
fundamental,adj.基础的
sometimes,adv.有时
formula,n.公式
abide,v.忍受
petty,adj.琐碎的
deliberate,adj.故意的
meal,n.一顿饭
comprehend,v.理解
suck,v.吮吸，吸食
toll,n.伤亡人数
height,n.身高
paradise,n.天堂
bug,n.小虫子
up-to-date,adj.最新的，新式的
abrupt,adj.突然的，意外的
honey,n.蜂蜜
mass,n.团，块
trifle,n.小事
disposal,n.丢弃
epic,n.史诗
industrial,adj.工业的
begin,v.开始
examine,v.审查
fascinate,v.深深吸引，使着迷
pebble,n.鹅卵石
versus,prep.与…相比
few,adj.很少，几个
property,n.所有物，财产
wrench,v.猛扭
sandwich,n.三明治
despise,v.轻视，蔑视
voyage,n.航行，航海，航天
length,n.长度
assume,v.假设，认为
pink,adj.粉红色的
autonomy,n.自治
drone,n.无人机
quiet,adj.安静的
obstruct,v.阻挡，阻塞
headquarters,n.司令部，指挥部
tactic,n.策略，手段
relativity,n.相对性
inspect,v.检查，审视
rape,v.强奸
powder,n.粉末
hysterical,adj.歇斯底里的
misery,n.痛苦，苦难，不幸
consume,v.消耗
auto,n.汽车
profitable,adj.盈利的
tanker,n.油罐车，油轮
floor,n.地板，地面
layman,n.普通信徒
snake,n.蛇
coal,n.煤，木炭
custody,n.监护权
quit,v.离开
goodness,n.善良，美德
farewell,int.再会，别了
persevere,v.坚持不懈，孜孜不倦
bench,n.长椅
prince,n.王子
multiple,adj.许多的，多种多样的
saving,n.节约
stuff,n.物品
induce,v.导致，引起
skeptical,adj.持怀疑态度的，不相信的
constitute,v.被算作
and,conj.和，与
ornament,n.装饰品
garment,n.衣服
ape,n.猿
imagine,v.猜测
representative,n.代表，代理人
pack,v.收拾行李
nobody,n.小人物，无名小卒
fuse,v.融合
heel,n.脚后跟
warn,v.警告，提醒
roll,n.卷，卷轴
climb,v.攀登
precedent,n.前例，范例
valve,n.阀门
overtime,n.加班
holder,n.持有者
novelty,n.新颖
restless,adj.坐立不安的
straight,adv.笔直地
isle,n.小岛
response,n.回答，答复
peace,n.和平
biology,n.生物学
abandon,v.抛弃
audience,n.观众，听众，读者
form,n.种类
notebook,n.笔记本
violent,adj.暴力的
exempt,adj.豁免的
department,n.部门，系，处，司
ordinary,adj.普通的，平常的，平凡的
portion,n.部分
tilt,v.倾斜
western,adj.西方的
weather,n.天气，气象
rein,n.缰绳
scholarship,n.奖学金
lover,n.情人
lid,n.盖子
supervise,v.监督
virgin,n.处女，童男
extra,adj.额外的
house,n.房屋
refresh,v.恢复精力
diverse,adj.不同的，多种多样的
every,det.每个
dump,v.丢弃
miniature,n.微型画
linguistic,adj.语言学的
shoot,v.射杀
justify,v.证明…正确
swan,n.天鹅
couch,n.长沙发
facilitate,v.促进
career,n.职业
village,n.村子，乡村
elastic,adj.有弹性的
method,n.方法，办法
indicative,adj.表明的，暗示的
financial,adj.财政的
appetite,n.食欲
previous,adj.先前的，上一个的
silence,n.沉默
discourse,n.演讲
leaflet,n.宣传册，传单
historian,n.历史学家
joint,adj.联合的，共同的
section,n.部分
differ,v.不同，相异
passage,n.通道
outward,adj.表面的
peak,n.山峰
celebrity,n.名人
improve,v.改善，提高
harbor,n.海港
surge,n.（感情的）突发
lend,v.借出
sudden,adj.突然的，意外的
city,n.城市，都市
canoe,n.独木舟
pat,v.轻拍，轻抚
evolution,n.进化
edge,n.边缘
dare,n.挑战，激将
still,adj.静止的
away,adv.离开
line,n.线
tackle,v.处理
hardware,n.硬件
aunt,n.阿姨，姑妈，伯母，舅妈
day,n.一天
ban,v.禁止，取缔
reservation,n.预订
harassment,n.骚扰，侵扰
onion,n.洋葱，葱头
disguise,v.伪装
verbal,adj.口头的
noble,adj.高尚的
mixture,n.混合
economic,adj.经济的
distinguish,v.辨别，分清
prior,adj.先前的
stern,adj.严厉的
jug,n.壶，罐
behavior,n.行为，举止
chronic,adj.慢性的
mystery,n.谜
greet,v.打招呼
tropical,adj.热带的
release,v.释放
succeed,v.成功
gently,adv.温柔地，温和地
mate,n.配偶
skillful,adj.技术好的
hero,n.男主人公
constituent,n.成分
novel,n.长篇小说
collapse,v.坍塌
after,prep.在…以后
stagnant,adj.不流动的
heat,n.热
amuse,v.逗笑
satisfy,v.使满意
contempt,n.轻视，轻蔑
considerate,adj.考虑周到的，体贴的
husband,n.丈夫
anyway,adv.反正
mutual,adj.共同的，共有的
finite,adj.有限的
feminine,adj.女性的
input,n.输入
thereby,adv.因此，从而
amend,v.修改，修正
gum,n.口香糖
forward,adj.向前的
historic,adj.有重大历史意义的
cafeteria,n.自助餐厅
winter,n.冬天
correspondence,n.通信联系
resort,v.向…求助，诉诸
accelerate,v.增长
sprinkle,v.洒
sick,adj.生病的
shove,v.猛推
snatch,v.一把抓起
align,v.成一直线
thereafter,adv.此后，以后
display,v.陈列
either,det.（两者之中）任何一个，每个
ward,n.病房
article,n.文章
coincide,v.同时发生
cruise,n.航行
hatred,n.憎恨，厌恶
seat,n.座位
reel,n.卷筒
crisis,n.危急时刻
directory,n.目录，名录
coat,n.外套
blackboard,n.黑板
anguish,n.极度痛苦
intrigue,v.激起…的兴趣
stale,adj.不新鲜的
multitude,n.众多，大量
November,n.十一月
soul,n.灵魂
only,adj.仅有的，唯一的
converge,v.聚集
latter,adj.后者的
yourself,pron.你自己
negotiate,v.谈判，洽谈
ebb,v.退潮
deplete,v.耗尽，大量减少
single,adj.单个的
invoke,v.援引
bee,n.蜜蜂
erect,v.建造
murder,n.谋杀，凶杀
web,n.网，网状物
correlate,v.相互关联
elevator,n.电梯
teach,v.教，教导
buffer,n.缓冲物
sting,v.蜇
initial,adj.最初的，开始的
patriotic,adj.爱国的
gymnasium,n.体育馆，健身房
mechanism,n.机械装置
chicken,n.鸡
review,n.审查
tag,n.标签
welcome,adj.受欢迎的
obstruction,n.阻挡，阻碍
prosecute,v.起诉
persist,v.坚持
take,v.取，拿
impossible,adj.不可能的
garlic,n.大蒜
secret,adj.秘密的
mostly,adv.几乎全部地，主要地，通常
formal,adj.正式的
coalition,n.联合
redeem,v.弥补
persuade,v.劝说
appreciate,v.欣赏
copy,n.复印件，复制品
toxic,adj.有毒的
modest,adj.谦虚的
tub,n.浴缸
profound,adj.深远的
botany,n.植物学
log,v.记录
guest,n.客人
observation,n.观察，观测
tight,adj.紧的
trigger,n.起因，诱因
whoever,pron.任何人
sister,adj.同类型的，如同姐妹的
eliminate,v.消除
cargo,n.货物
relieve,v.减轻
driver,n.司机
geometry,n.几何学
ethnic,adj.种族的
native,adj.本土的
sell,v.出售
museum,n.博物馆
framework,n.框架，结构
combination,n.结合体
judge,v.评价
child,n.儿童
rib,n.肋骨
hail,v.赞扬
recognize,v.认出
intimate,adj.亲密的
as,conj.在…同时
approximate,adj.大约的，近似的
ensure,v.保证，确保
lifetime,n.一生
victim,n.受害者，遭难者
beer,n.啤酒
concern,v.影响，涉及
eight,num.八
dome,n.穹顶
rule,n.规章
pronounce,v.发音
sailor,n.水手，海员
lie,v.躺，卧
convict,v.定罪，宣判有罪
creative,adj.创造性的
cooperate,v.合作
supplement,v.补充，增补
disgust,n.反感，厌恶
influence,n.影响
organism,n.有机体，生物
prize,n.奖品，奖金
snow,n.雪
metaphor,n.隐喻
anecdote,n.轶事
lazy,adj.懒惰的
warmth,n.热情，友好
expense,n.花费，开支
consolidate,v.巩固，加强
feed,v.喂养
dot,n.点，小圆点
directly,adv.直接地
fold,v.折叠
man,n.男人
rack,n.架子，支架
pint,n.品脱
lest,conj.以免，唯恐
family,n.家庭
hurricane,n.飓风
decent,adj.出色的
oath,n.宣誓，誓言
civilize,v.使文明，教化
justice,n.公正，公平
man,n.男人
rack,n.架子，支架
pint,n.品脱
lest,conj.以免，唯恐
family,n.家庭
hurricane,n.飓风
decent,adj.出色的
oath,n.宣誓，誓言
civilize,v.使文明，教化
justice,n.公正，公平
bowl,n.碗
politics,n.政治（学）
pharmacy,n.药房
expedition,n.探险
complain,v.抱怨，发牢骚
believe,v.相信
miss,v.未击中
exclude,v.把…排斥在外
strategy,n.策略
luck,n.运气，好运，侥幸
threat,n.威胁
cap,v.用…覆盖顶部
lumber,v.缓慢移动
headline,n.标题
ferry,n.渡船
helmet,n.头盔，防护帽
furthermore,adv.而且，此外
exception,n.例外
gun,n.枪
mailman,n.邮递员
cliff,n.悬崖，峭壁
sausage,n.香肠，腊肠
contemplate,v.思考，考虑
backward,adj.向后的
tug,v.拉，拖，拽
forthcoming,adj.即将到来的
defer,v.推迟，延迟
general,adj.普遍的
rude,adj.粗鲁的
clear,adj.明确的
esteem,n.尊敬，敬重
torment,n.痛苦，折磨
surrender,v.投降
tariff,n.关税
incidentally,adv.附带地，偶然地
altogether,adv.完全
scissors,n.剪刀
escalate,v.逐步扩大
shell,n.壳
prisoner,n.囚犯
fist,n.拳头
it,pron.它
broker,n.经纪人
editor,n.编辑
format,n.版式
better,adj.更好的
alien,n.外国人
bloom,v.开花
harden,v.使硬化
stool,n.凳子
assimilate,v.吸收
uphold,v.支持，维护
sort,n.种类
insulate,v.使隔热，使隔音，使绝缘
honest,adj.诚实的
alive,adj.活着的
quarter,n.四分之一
tidy,adj.整洁的
dull,adj.枯燥的
lovely,adj.可爱的，美丽的
zoom,v.快速移动
excess,n.过量
electric,adj.电动的
senator,n.参议员
trench,n.沟渠
administer,v.管理
thrill,v.使非常兴奋，感到激动
nowhere,adv.任何地方都不，无处
civil,adj.公民的
cement,n.水泥
cardinal,adj.基本的，最重要的
salad,n.沙拉
solitary,adj.单独的
doorway,n.门口
glamour,n.魅力，诱惑力
tractor,n.拖拉机
unit,n.单位
terrific,adj.极好的
species,n.物种
commend,v.公开称赞
hurl,v.用力投掷
tense,adj.紧张的
equality,n.平等
fee,n.费用
again,adv.再次
preparation,n.准备
president,n.总统，主席
type,n.类型
independent,adj.独立的
diminish,v.减少，缩减
sweep,v.打扫
negative,adj.坏的，有害的
glass,n.玻璃
specialize,v.专门研究，专门从事
fact,n.现实
moist,adj.潮湿的，湿润的
gift,n.礼物
wrong,adj.错误的
digital,adj.数字的，数码的
athlete,n.运动员
piano,n.钢琴
Latin,adj.拉丁语的
request,n.请求
arrival,n.抵达
twin,adj.孪生之一的
eat,v.吃
lodge,v.正式提出
guarantee,n.保证
girl,n.女孩
bark,v.吠叫
evoke,v.唤起
between,prep.在…之间
shelf,n.架子
terminate,v.结束，终止
cruel,adj.残酷的
superficial,adj.肤浅的
boast,v.自夸
orient,v.使适应
kitchen,n.厨房
butcher,n.屠夫
unanimous,adj.一致通过的
train,n.火车，列车
vegetable,n.蔬菜
recipe,n.食谱
second,ord.第二
revenue,n.（财政）收入
often,adv.经常，通常
typhoon,n.台风
abstract,adj.抽象（派）的
three,num.三
substantial,adj.大量的
isolate,v.使隔离
sensible,adj.明智的
must,mod. v.必须，一定，应该
barrel,n.桶
stage,n.时期
renaissance,n.文艺复兴
stop,v.停止
derive,v.源自，来源于
tool,n.工具
zip,n.拉链
throughout,prep.遍及
republic,n.共和国
suicide,n.自杀
network,n.网络
velocity,n.速度，速率
freight,v.运送
clinic,n.诊所
than,conj.比
correspond,v.相符，一致
prototype,n.原型
hopeful,adj.有希望的，乐观的
ambulance,n.救护车
population,n.人口
playground,n.游戏场
consequently,adv.因此，所以
amiable,adj.和蔼可亲的，友好的
acquaint,v.使熟悉
parade,v.游行
puzzle,n.谜
postpone,v.推迟，延期
lose,v.输掉
agreeable,adj.宜人的
preliminary,adj.初步的
ox,n.公牛
equal,adj.相同的
fog,n.雾
bubble,n.气泡
solar,adj.太阳的
split,v.分裂
so,adv.这样
hazard,n.危险，危害，隐患
also,adv.也，同样
though,adv.然而，不过
lane,n.小路
manner,n.方式
corporation,n.公司
exam,n.考试
even,adv.甚至
rhetoric,n.花言巧语
donkey,n.驴
theoretical,adj.理论的
effort,n.努力
empire,n.帝国
leather,n.皮革
ignorance,n.无知，愚昧
systematic,adj.系统的，成体系的，有条理的
renew,v.重新开始
beard,n.胡须，络腮胡子
broad,adj.宽阔的
freelance,adj.自由职业的
mobile,adj.可移动的
shampoo,n.洗发水
concession,n.让步
organic,adj.有机的
interfere,v.干涉，介入
relation,n.关联，关系
greedy,adj.贪婪的
punctual,adj.准时的
near,adj.距离近的
silicon,n.硅
distill,v.蒸馏
cancel,v.取消
chemical,adj.化学的
zoo,n.动物园
slippery,adj.滑的
illiterate,adj.不会读写的，文盲的
brevity,n.简洁
blue,adj.蓝色的
wind,n.风
greeting,n.问候，招呼，祝词
inward,adj.内心的
lightning,n.闪电
porch,n.门廊
surgeon,n.外科医生
bang,v.猛击
aircraft,n.航空器，飞机
relay,v.转发
contract,n.合同，契约
shall,mod. v.将要
adapt,v.（使）适应
ride,v.乘坐
statue,n.雕像，塑像
agent,n.代理人
chamber,n.议院
burst,v.爆裂
rubbish,n.瞎说
behind,adv.在（或向）后面
humorous,adj.滑稽有趣的，幽默的
quilt,n.被子
moan,v.呻吟
shine,n.光亮，光泽
deep,adj.深的
beautiful,adj.美丽的
fashionable,adj.时髦的
dentist,n.牙医
wing,n.翅膀
cluster,v.群聚，聚集
waitress,n.女侍者，女服务员
handkerchief,n.手帕，纸巾
revelation,n.披露
ago,adv.以前
baggage,n.行李
bud,n.芽，花苞
memorial,n.纪念碑
commemorate,v.纪念
opening,n.开幕式
occupation,n.职业
cognitive,adj.认知的，认识的，有感知能力的
brain,n.脑
zigzag,n.之字形
citizen,n.公民
handful,n.一把 (的量)
soft,adj.柔软的
increase,n.增加，增长
recent,adj.近来的，新近的
clever,adj.聪明的
firm,adj.硬的
bus,n.公共汽车
system,n.系统
architect,n.建筑师
abnormal,adj.反常的
need,v.需要，必需
paperback,n.平装书
duration,n.持续时间
wall,n.墙，围墙
separate,adj.独立的，分开的
verge,n.边缘
soup,n.汤，羹
critical,adj.批判的
testify,v.（出庭）作证
undergraduate,adj.大学本科生的
airport,n.机场
incentive,n.激励，刺激
dusk,n.黄昏
facet,n.方面
humidity,n.潮湿
station,n.车站
positive,adj.积极的
like,prep.像，类似
compensate,v.补偿，赔偿
buzz,n.嗡嗡声
scale,n.规模
enterprise,n.企业
crow,n.乌鸦
out,adv.出来
clap,v.鼓掌
obtain,v.得到
slump,v.猛跌
lapse,n.过失，疏忽
cook,n.厨师
following,adj.接着的
instead,adv.作为代替，反而
spear,n.矛，枪
empathy,n.共鸣，同情
describe,v.描述，形容
platform,n.平台
pronoun,n.代词
scout,v.侦察
airline,n.航空公司
regret,n.遗憾，懊悔
task,n.工作，任务
pace,n.速度
weekly,adj.每周的
academic,adj.学术的
proper,adj.恰当的
want,v.想，想要
domain,n.领域
witch,n.女巫，巫婆
pump,n.泵，抽水机
south,adj.南方的，向南的
genetic,adj.基因的，遗传的
plot,n.阴谋
sheet,n.床单
ball,n.球
reflection,n.反射
solve,v.解决
joy,n.愉悦
preserve,v.保护
stroke,n.中风
liberty,n.自由
occasion,n.时机
eagle,n.鹰，雕
parachute,n.降落伞
refugee,n.难民
symmetry,n.对称
orthodox,adj.正统的
unexpected,adj.出乎意料的，意想不到的
premium,n.保险费
carry,v.携带
summit,n.最高点，顶峰
pie,n.馅饼，派
flock,n.群
on,prep.在…上
hijack,v.劫持
opera,n.歌剧
toy,n.玩具，玩物
survive,v.存活
reduce,v.减少
nursery,n.托儿所
fraction,n.少量
Christmas,n.圣诞节
designate,v.指定
fortunate,adj.幸运的
fork,n.叉，耙
appal,v.使惊骇
cumulative,adj.聚积的，积累的
research,n.研究
earthquake,n.地震
fashion,n.时尚
living,adj.活的
seventeen,num.十七
everyday,adj.每天的
room,n.房间
clasp,n.搭扣
storm,n.暴风雨
transaction,n.交易，业务
highway,n.公路，干线
mail,n.邮件
documentary,n.纪录片
product,n.产品
crab,n.螃蟹
maiden,n.少女，处女，未婚女子
beginning,n.开头
rod,n.杆，棒，棍
waiter,n.男侍者，男服务员
drought,n.干旱
sale,n.销售（量）
mean,adj.吝啬的
approach,v.靠近
ritual,n.仪式，典礼
regulate,v.管理
uniform,n.制服
fertile,adj.肥沃的
conception,n.构思
harmony,n.和谐
maid,n.女仆
vocabulary,n.词汇
gut,n.直觉
fur,n.毛皮
fax,n.传真
destroy,v.毁坏，摧毁
freedom,n.自由
detach,v.拆卸
replace,v.代替
spite,n.恶意，怨恨
matter,n.问题
cemetery,n.墓地，公墓
arch,v.拱起
manual,adj.手工的，体力的
before,adv.以前，已经
always,adv.总是
classical,adj.经典的
thesis,n.论文，学位论文
tube,n.管子
holiday,n.假日，假期
speech,n.演说
square,adj.正方形的
wear,n.衣着
friendship,n.友谊
cunning,adj.狡猾的
rash,adj.鲁莽的
knowledge,n.知识
special,adj.特殊的
broadcast,n.广播节目，电视节目
reap,v.获得
anyone,pron.任何人
ambition,n.野心
innovation,n.革新
front,adj.前面的
pencil,n.铅笔
choose,v.选择
entertain,v.款待
manipulate,v.操纵
unload,v.卸下
remark,n.评论
advantage,n.优势，有利条件
household,n.家庭，一家人
blunder,v.犯愚蠢的错误
harvest,n.收获，收割
smuggle,v.偷运，走私
pendulum,n.钟摆
lawyer,n.律师
tap,v.轻拍
swear,v.发誓，郑重承诺
laundry,n.洗衣房
avert,v.防止，避免
mother,n.母亲
chef,n.厨师，主厨
flare,v.烧旺
shot,n.射击
aural,adj.听觉的
estate,n.庄园
doll,n.洋娃娃
fail,v.失败
dangerous,adj.有危险的，引起危险的
plural,n.复数
output,n.产量，输出量
accord,v.赋予
find,v.发现
dust,n.尘土
partner,n.合伙人
trend,n.倾向，趋势
elaborate,adj.复杂的，详尽的
compartment,n.车厢
attempt,n.尝试，试图
consider,v.认为
circumference,n.圆周，周长
bake,v.烤，烘焙
timid,adj.羞怯的，胆怯的
antenna,n.触角，触须
prestige,n.声望
necklace,n.项圈，项链
along,adv.向前
heroine,n.女英雄
ruthless,adj.残酷的
concede,v.承认
middle,adj.中间的
brother,n.兄弟
ambassador,n.大使
sense,n.感觉
expire,v.失效
predominant,adj.显著的
mental,adj.智力的
gap,n.缺口
argument,n.争辩
vest,n.背心，汗衫，马甲
tone,n.语气
vacuum,n.空虚，空白
huddle,v.挤在一起
encourage,v.鼓励
harsh,adj.残酷的
poet,n.诗人
hill,n.小山
natural,adj.自然的
culminate,v.以…告终
suggestion,n.建议
instruct,v.指示，吩咐
spirit,n.精神
shallow,adj.浅的
evaluate,v.评价，评估
attend,v.出席
electronic,adj.电子的
transplant,v.移植
bag,n.袋子
smell,n.气味
probability,n.可能性
prospective,adj.有可能的，潜在的
nose,n.鼻子
pride,n.自豪
imitate,v.模仿，仿效
industry,n.工业
temple,n.庙宇，寺院
crawl,v.爬行
rhythm,n.韵律，节奏
deposit,v.放置
revolutionary,adj.革命的，革新的
table,n.桌子
risk,n.危险
ship,n.大船，舰
legacy,n.遗产，遗物
confess,v.承认，坦白
vegetation,n.植物，草木
subsequent,adj.随后的
brief,adj.简洁的
bid,v.出价
tray,n.盘，碟，托盘
mourn,v.悲伤，哀悼
scene,n.现场
vanish,v.消失
qualify,v.有资格
stewardess,n.女乘务员
prey,n.猎物
polish,v.擦亮
odor,n.（尤指难闻的）气味
polar,adj.两极的
bow,v.鞠躬
ridiculous,adj.荒谬的，可笑的
episode,n.一段经历
crew,n.(全体) 船员，机组人员
inventory,n.库存
feedback,n.反馈
despatch,v.派遣
everyone,pron.人人，所有人，每人
deceive,v.欺骗，蒙骗，误导
situate,v.使坐落于，使处于
consequence,n.结果，后果
law,n.法律，法规
data,n.数据，资料
orchard,n.果园
specific,adj.确切的
blade,n.刀片
basement,n.地下室
lucky,adj.幸运的，吉祥的
volleyball,n.排球
curtain,n.窗帘
colonial,adj.殖民地的
pamphlet,n.小册子
simplicity,n.简单
truth,n.真相
slipper,n.拖鞋
minus,prep.减去
revive,v.（使）苏醒，复活
hinge,n.铰链，合叶
malignant,adj.恶毒的
stall,v.停顿
community,n.社区
laptop,n.笔记本电脑
inject,v.注射
breathe,v.呼吸
wedge,n.楔子
apology,n.道歉
upon,prep.在…之上
severe,adj.严重的
assert,v.断言
fragrant,adj.香的，芳香的
favor,n.帮助
pollution,n.污染（物）
propose,v.提出，提议
intrude,v.侵入，闯入
exceed,v.超过
wink,v.眨眼
disaster,n.灾难
tease,v.戏弄，取笑
cushion,n.垫子
frustrate,v.使沮丧
paint,n.油漆
wet,adj.潮湿的
storey,n.楼层
rainbow,n.彩虹
fond,adj.喜爱的
suffice,v.足够
journalist,n.记者，新闻工作者
defend,v.防御
undoubtedly,adv.毫无疑问地
well,adv.好
occupy,v.占据
bridge,n.桥梁
accessory,n.附件
prayer,n.祈祷
outset,n.开始，开端
hard,adj.坚硬的
wood,n.木头，木料
attract,v.吸引
dress,n.连衣裙
seem,v.似乎
lubricate,v.使润滑
exemplify,v.举例说明
chess,n.国际象棋
act,n.行为
prison,n.监狱
embody,v.具体表现，体现
serious,adj.严重的
unemployment,n.失业人数
synthesis,n.综合，综合体
o'clock,adv.…点钟
during,prep.在…期间
rare,adj.稀有的
bull,n.公牛
addict,n.瘾君子
conduct,v.执行
deviate,v.偏离，背离
centre,n.中心，中央
civilian,adj.平民的
understand,v.理解
demographic,adj.人口的
acid,adj.酸味的
cheer,n.欢呼声
experience,n.经历
dorm,n.宿舍
resist,v.抵抗
private,adj.私人的
author,n.作者，作家
persecute,v.迫害
suspend,v.悬，挂
universal,adj.普遍的，全体的，共同的
hollow,adj.中空的
commute,v.通勤
exclusive,adj.独占的
waterfall,n.瀑布
panel,n.专题讨论小组
overlook,v.忽略
pity,n.怜悯
Friday,n.星期五
stability,n.稳定
go,v.去，出发
despair,n.绝望
free,adj.自由的
digest,v.消化
produce,v.制作
too,adv.过于
resistant,adj.抵制的
ballot,n.无记名投票
offensive,adj.无礼的，攻击性的
aim,n.目标，目的
comply,v.遵从，服从
slum,n.贫民窟
place,n.地点
presence,n.出席，在场
tough,adj.艰苦的
production,n.生产
role,n.作用
promise,v.承诺
painful,adj.疼痛的
alter,v.改变
ink,n.墨水，墨汁
tune,v.调音
discrete,adj.分离的，互不相连的
adolescent,adj.青春期的
simplify,v.简化
beast,n.野兽
cheese,n.奶酪
garbage,n.垃圾
choke,v.窒息
divide,v.分割
gain,n.增加
plentiful,adj.大量的，充足的
park,n.公园
briefcase,n.公文包
library,n.图书馆
international,adj.国际的
gauge,v.判断
generation,n.一代，一辈
rag,n.破布，抹布
reader,n.读者
foul,adj.污秽的
probable,adj.很可能的
necessitate,v.迫使，使成为必要
salvation,n.拯救
watt,n.瓦，瓦特
low,adj.低的
live,v.居住
there,adv.在那里，到那里
soon,adv.很快
instance,n.事例，例子
endurance,n.耐久
brass,n.黄铜
hasty,adj.匆忙的，仓促的
sometime,adv.在某个时候
plague,n.瘟疫
henceforth,adv.从今以后，从现在起
portfolio,n.文件夹
sleep,n.睡觉
atom,n.原子
no,int.不，没有，不是
vague,adj.模糊的，不明确的
hamburger,n.汉堡包
interpret,v.解释，说明
grease,n.油脂
frown,v.皱眉
astronomy,n.天文学
stationary,adj.静止的
uncle,n.叔叔，伯伯，舅舅，姑父，姨父
dignity,n.尊严，尊敬
stamp,n.邮票
young,adj.幼小的
crush,v.挤压
lift,v.抬起
launch,v.发起
bride,n.新娘
blanket,n.毛毯，毯子
devise,v.设计，发明，想出
casualty,n.伤亡人员
upright,adj.挺直的
define,v.下定义
amid,prep.在…过程中
lame,adj.跛的
decide,v.决定
discern,v.察觉出
composite,n.合成物，混合物
possess,v.具有
erupt,v.（火山）爆发
support,n.支持
warranty,n.保修单
collect,v.收集
ankle,n.踝，踝关节
bone,n.骨头
festival,n.节日
extinguish,v.扑灭
technician,n.技术员，专家
cordial,adj.热情友好的
inverse,adj.相反的，反向的
degenerate,v.退化，堕落，恶化
colonel,n.上校
fit,v.适合
locomotive,n.机车，火车头
faith,n.信心
skip,v.略过
analyse,v.分析
